PredictedScore,BIRD_5,D240,BIRD_4,PUTTS,D260,Prediction
Byeong Hun An,53.15,6.65,19.95,29.22,14.29,268.81786216315544
Abraham Ancer,44.89,7.34,21.01,28.62,27.41,271.75785049265295
Kiradech Aphibarnrat,47.62,10.56,16.4,28.0,22.67,269.8785487071389
Ryan Armour,38.83,17.16,15.57,29.09,37.27,274.7663136216633
Daniel Balin,,,,,,
Alex Beach,,,,,,
Rich Beem,,,,,,
Jr. Berberian,,,,,,
Daniel Berger,47.54,9.85,17.8,28.44,18.97,269.9934286236573
Justin Bertsch,,,,,,
Lucas Bjerregaard,47.56,8.48,13.39,30.42,18.75,271.3058106549484
Alexander Björk,,,,,,
Craig Bowden,,,,,,
Keegan Bradley,44.12,7.72,18.65,29.42,18.29,271.59778452594065
Bronson Burgoon,43.0,11.9,16.99,29.48,21.77,272.37043790172004
Sam Burns,46.28,7.99,17.82,28.11,17.57,269.7784674330185
Rafa Cabrera Bello,47.02,10.05,21.87,28.67,26.8,271.42369104005127
Jorge Campillo,,,,,,
Patrick Cantlay,46.88,5.14,21.54,28.31,12.57,269.44689022050443
Jason Caron,,,,,,
Paul Casey,53.95,10.44,16.09,29.26,15.93,268.7217627522219
Cameron Champ,55.84,8.96,19.27,29.57,14.18,268.51850415882836
Corey Conners,42.95,6.9,18.3,29.86,25.37,272.9056300305105
Ben Cook,,,,,,
Joel Dahmen,49.08,7.81,17.21,28.97,22.19,270.24056917587336
John Daly,,,,,,
Jason Day,52.27,8.58,20.0,28.41,10.07,268.01196596839355
Stuart Deane,,,,,,
Bryson DeChambeau,59.65,8.49,19.67,28.62,15.09,266.822417801825
Jason Dufner,39.73,11.39,16.45,30.43,24.01,274.17862195872635
Andrew Filbert,,,,,,
Tony Finau,53.09,6.91,18.5,28.48,14.29,268.0793869964963
Ross Fisher,,,,,,
Matthew Fitzpatrick,44.0,10.08,16.25,28.52,28.15,271.7441859986714
Tommy Fleetwood,45.69,7.79,16.92,29.03,13.64,270.27278967909234
Rickie Fowler,51.35,6.94,22.01,28.45,16.73,268.9998957855403
Ryan Fox,,,,,,
Dylan Frittelli,50.61,7.77,13.91,29.11,20.08,269.5180520495931
Jim Furyk,46.49,18.45,18.49,29.15,37.43,273.2207353860624
Sergio Garcia,52.38,8.73,18.12,28.73,15.06,268.62257278467945
Brian Gay,47.62,20.8,16.74,28.17,41.44,272.457806998641
Lucas Glover,45.4,9.58,18.04,29.16,21.09,271.37756895125096
Branden Grace,44.58,9.57,14.95,30.09,19.15,271.97524832704624
Emiliano Grillo,48.26,12.07,15.91,30.02,21.67,271.45322456842223
Chesson Hadley,38.24,10.38,18.11,29.29,15.04,272.7301356519619
Adam Hadwin,52.91,9.92,16.76,28.74,22.78,269.2192418842642
Tyler Hall,,,,,,
Justin Harding,41.89,10.71,19.42,28.1,29.46,272.30625938057904
Brian Harman,38.24,7.58,14.58,28.43,32.17,273.23271892752507
Padraig Harrington,,,,,,
Tyrrell Hatton,44.55,9.2,20.78,29.0,18.0,271.3344465892682
Lucas Herbert,,,,,,
Craig Hocknull,,,,,,
Charley Hoffman,40.85,7.8,16.33,29.11,19.94,272.12612891559763
J.B. Holmes,33.77,5.84,19.91,29.54,10.06,273.46926674536576
