PredictedScore,BIRD,SCORE,D260,GIR_125,BIRD_5,PAR4,Prediction
Byeong Hun An,,,,,,,
Abraham Ancer,,,,,,,
Kiradech Aphibarnrat,,,,,,,
Ryan Armour,,,,,,,
Daniel Balin,,,,,,,
Alex Beach,,,,,,,
Rich Beem,19.7,71.035,28.73,76.74,39.92,4.03,287.32037269455964
Jr. Berberian,,,,,,,
Daniel Berger,,,,,,,
Justin Bertsch,,,,,,,
Lucas Bjerregaard,,,,,,,
Alexander Björk,,,,,,,
Craig Bowden,,,,,,,
Keegan Bradley,,,,,,,
Bronson Burgoon,,,,,,,
Sam Burns,,,,,,,
Rafa Cabrera Bello,,,,,,,
Jorge Campillo,,,,,,,
Patrick Cantlay,,,,,,,
Jason Caron,,,,,,,
Paul Casey,,,,,,,
Cameron Champ,,,,,,,
Corey Conners,,,,,,,
Ben Cook,,,,,,,
Joel Dahmen,,,,,,,
John Daly,,,,,,,
Jason Day,22.5,70.132,20.92,60.0,46.7,4.02,284.37613492240075
Stuart Deane,,,,,,,
Bryson DeChambeau,,,,,,,
Jason Dufner,20.68,70.307,30.35,71.85,38.87,4.01,287.66196672556583
Andrew Filbert,,,,,,,
Tony Finau,,,,,,,
Ross Fisher,,,,,,,
Matthew Fitzpatrick,,,,,,,
Tommy Fleetwood,,,,,,,
Rickie Fowler,,,,,,,
Ryan Fox,,,,,,,
Dylan Frittelli,,,,,,,
Jim Furyk,21.22,69.477,35.1,76.36,42.47,3.98,286.3905748830186
Sergio Garcia,19.44,70.056,24.03,73.38,42.26,4.04,285.1417260771179
Brian Gay,19.56,70.4,37.96,73.39,42.75,4.03,287.3259956068025
Lucas Glover,21.92,69.97,21.23,66.4,45.65,4.02,284.3009198791005
Branden Grace,,,,,,,
Emiliano Grillo,,,,,,,
Chesson Hadley,,,,,,,
Adam Hadwin,,,,,,,
Tyler Hall,,,,,,,
Justin Harding,,,,,,,
Brian Harman,,,,,,,
Padraig Harrington,19.23,70.229,25.0,73.57,44.44,4.06,284.72573717682997
Tyrrell Hatton,,,,,,,
Lucas Herbert,,,,,,,
Craig Hocknull,,,,,,,
Charley Hoffman,22.05,70.438,19.8,69.9,44.41,4.01,284.75030377269235
J.B. Holmes,19.59,71.523,15.65,64.97,42.92,4.12,285.4799332635418
Max Homa,,,,,,,
Billy Horschel,,,,,,,
Beau Hossler,,,,,,,
Charles Howell III,19.87,70.459,23.83,75.29,46.58,4.03,283.9909400461052
Sungjae Im,,,,,,,
Shugo Imahira,,,,,,,
Jazz Janewattananond,,,,,,,
Marty Jertson,,,,,,,
Dustin Johnson,23.41,70.414,13.81,62.04,48.35,4.02,283.1601985090478
Zach Johnson,21.56,69.601,34.66,71.09,42.7,3.99,286.64068031711605
