Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Brooks Koepka (19543497),Brooks Koepka,19543497,G,11100,Shriners Children's Open,Golf,68.42
G,Sam Burns (19543498),Sam Burns,19543498,G,10900,Shriners Children's Open,Golf,70.46
G,Viktor Hovland (19543499),Viktor Hovland,19543499,G,10600,Shriners Children's Open,Golf,81.79
G,Abraham Ancer (19543500),Abraham Ancer,19543500,G,10400,Shriners Children's Open,Golf,74.31
G,Webb Simpson (19543501),Webb Simpson,19543501,G,10200,Shriners Children's Open,Golf,76.55
G,Will Zalatoris (19543502),Will Zalatoris,19543502,G,10100,Shriners Children's Open,Golf,81.70
G,Louis Oosthuizen (19543503),Louis Oosthuizen,19543503,G,9900,Shriners Children's Open,Golf,78.08
G,Scottie Scheffler (19543504),Scottie Scheffler,19543504,G,9700,Shriners Children's Open,Golf,71.86
G,Hideki Matsuyama (19543505),Hideki Matsuyama,19543505,G,9500,Shriners Children's Open,Golf,71.11
G,Harris English (19543506),Harris English,19543506,G,9300,Shriners Children's Open,Golf,76.74
G,Sungjae Im (19543507),Sungjae Im,19543507,G,9200,Shriners Children's Open,Golf,72.53
G,Kevin Na (19543508),Kevin Na,19543508,G,9100,Shriners Children's Open,Golf,68.96
G,Si Woo Kim (19543509),Si Woo Kim,19543509,G,9000,Shriners Children's Open,Golf,58.82
G,Paul Casey (19543510),Paul Casey,19543510,G,8900,Shriners Children's Open,Golf,76.83
G,Corey Conners (19543511),Corey Conners,19543511,G,8800,Shriners Children's Open,Golf,71.08
G,Jason Kokrak (19543512),Jason Kokrak,19543512,G,8700,Shriners Children's Open,Golf,68.44
G,Patrick Reed (19543513),Patrick Reed,19543513,G,8600,Shriners Children's Open,Golf,68.5
G,Cameron Tringale (19543514),Cameron Tringale,19543514,G,8500,Shriners Children's Open,Golf,67.83
G,Adam Scott (19543515),Adam Scott,19543515,G,8400,Shriners Children's Open,Golf,68.35
G,Joaquin Niemann (19543516),Joaquin Niemann,19543516,G,8300,Shriners Children's Open,Golf,76.44
G,Matthew Wolff (19543517),Matthew Wolff,19543517,G,8200,Shriners Children's Open,Golf,55.94
G,Charley Hoffman (19543518),Charley Hoffman,19543518,G,8100,Shriners Children's Open,Golf,68.57
G,Erik Van Rooyen (19543519),Erik Van Rooyen,19543519,G,8000,Shriners Children's Open,Golf,56.88
G,Russell Henley (19543520),Russell Henley,19543520,G,7900,Shriners Children's Open,Golf,65.10
G,Aaron Wise (19543521),Aaron Wise,19543521,G,7900,Shriners Children's Open,Golf,63.73
G,Mito Pereira (19543522),Mito Pereira,19543522,G,7800,Shriners Children's Open,Golf,73.55
G,Kevin Streelman (19543523),Kevin Streelman,19543523,G,7800,Shriners Children's Open,Golf,62.34
G,Maverick McNealy (19543524),Maverick McNealy,19543524,G,7700,Shriners Children's Open,Golf,62.52
G,Danny Willett (19543525),Danny Willett,19543525,G,7700,Shriners Children's Open,Golf,54.65
G,Talor Gooch (19543526),Talor Gooch,19543526,G,7600,Shriners Children's Open,Golf,62.29
G,Brian Harman (19543527),Brian Harman,19543527,G,7600,Shriners Children's Open,Golf,69.11
G,Marc Leishman (19543528),Marc Leishman,19543528,G,7600,Shriners Children's Open,Golf,59.94
G,Patton Kizzire (19543529),Patton Kizzire,19543529,G,7500,Shriners Children's Open,Golf,68.52
G,Ryan Palmer (19543530),Ryan Palmer,19543530,G,7500,Shriners Children's Open,Golf,69.93
G,Sahith Theegala (19543531),Sahith Theegala,19543531,G,7500,Shriners Children's Open,Golf,66.06
G,Emiliano Grillo (19543532),Emiliano Grillo,19543532,G,7400,Shriners Children's Open,Golf,64.9
G,Seamus Power (19543533),Seamus Power,19543533,G,7400,Shriners Children's Open,Golf,59.36
G,Carlos Ortiz (19543534),Carlos Ortiz,19543534,G,7400,Shriners Children's Open,Golf,64.93
G,Kevin Kisner (19543535),Kevin Kisner,19543535,G,7400,Shriners Children's Open,Golf,58.88
G,Cameron Davis (19543536),Cameron Davis,19543536,G,7300,Shriners Children's Open,Golf,70.14
G,Taylor Moore (19543537),Taylor Moore,19543537,G,7300,Shriners Children's Open,Golf,73.97
G,Charl Schwartzel (19543538),Charl Schwartzel,19543538,G,7300,Shriners Children's Open,Golf,58.10
G,Rickie Fowler (19543539),Rickie Fowler,19543539,G,7300,Shriners Children's Open,Golf,52.77
G,Luke List (19543540),Luke List,19543540,G,7200,Shriners Children's Open,Golf,55.63
G,Joseph Bramlett (19543541),Joseph Bramlett,19543541,G,7200,Shriners Children's Open,Golf,64.27
G,Pat Perez (19543542),Pat Perez,19543542,G,7200,Shriners Children's Open,Golf,56.36
G,Scott Stallings (19543543),Scott Stallings,19543543,G,7200,Shriners Children's Open,Golf,52.77
G,Rasmus Hojgaard (19543544),Rasmus Hojgaard,19543544,G,7100,Shriners Children's Open,Golf,59.36
G,Joel Dahmen (19543545),Joel Dahmen,19543545,G,7100,Shriners Children's Open,Golf,58.83
G,Stewart Cink (19543546),Stewart Cink,19543546,G,7100,Shriners Children's Open,Golf,64.71
G,Troy Merritt (19543547),Troy Merritt,19543547,G,7100,Shriners Children's Open,Golf,54.17
G,Martin Laird (19543548),Martin Laird,19543548,G,7100,Shriners Children's Open,Golf,52.57
G,Taylor Pendrith (19566155),Taylor Pendrith,19566155,G,7100,Shriners Children's Open,Golf,76.21
G,Ian Poulter (19543549),Ian Poulter,19543549,G,7000,Shriners Children's Open,Golf,59.14
G,Henrik Norlander (19543550),Henrik Norlander,19543550,G,7000,Shriners Children's Open,Golf,50.90
G,Sebastian Munoz (19543551),Sebastian Munoz,19543551,G,7000,Shriners Children's Open,Golf,61.72
G,Lucas Glover (19543552),Lucas Glover,19543552,G,7000,Shriners Children's Open,Golf,57.71
G,Ryan Moore (19543553),Ryan Moore,19543553,G,7000,Shriners Children's Open,Golf,48.31
G,Chez Reavie (19543554),Chez Reavie,19543554,G,7000,Shriners Children's Open,Golf,49.40
G,Cameron Young (19543555),Cameron Young,19543555,G,7000,Shriners Children's Open,Golf,61.75
G,Garrick Higgo (19543556),Garrick Higgo,19543556,G,6900,Shriners Children's Open,Golf,62.93
G,Roger Sloan (19543557),Roger Sloan,19543557,G,6900,Shriners Children's Open,Golf,59.5
G,Charles Howell III (19543558),Charles Howell III,19543558,G,6900,Shriners Children's Open,Golf,55.95
G,Doug Ghim (19543559),Doug Ghim,19543559,G,6900,Shriners Children's Open,Golf,61.11
G,Francesco Molinari (19543560),Francesco Molinari,19543560,G,6900,Shriners Children's Open,Golf,49.32
G,Lanto Griffin (19543561),Lanto Griffin,19543561,G,6900,Shriners Children's Open,Golf,56.35
G,Adam Hadwin (19543562),Adam Hadwin,19543562,G,6800,Shriners Children's Open,Golf,50.29
G,Adam Schenk (19543563),Adam Schenk,19543563,G,6800,Shriners Children's Open,Golf,58.88
G,Chad Ramey (19543564),Chad Ramey,19543564,G,6800,Shriners Children's Open,Golf,83.45
G,Dylan Frittelli (19543565),Dylan Frittelli,19543565,G,6800,Shriners Children's Open,Golf,43
G,Stephan Jaeger (19543566),Stephan Jaeger,19543566,G,6800,Shriners Children's Open,Golf,76.08
G,Zach Johnson (19543567),Zach Johnson,19543567,G,6700,Shriners Children's Open,Golf,58.29
G,Matthew NeSmith (19543568),Matthew NeSmith,19543568,G,6700,Shriners Children's Open,Golf,53.62
G,Matt Jones (19543569),Matt Jones,19543569,G,6700,Shriners Children's Open,Golf,60.97
G,Scott Piercy (19543570),Scott Piercy,19543570,G,6700,Shriners Children's Open,Golf,59.84
G,Denny McCarthy (19543571),Denny McCarthy,19543571,G,6700,Shriners Children's Open,Golf,53.27
G,Kyoung-Hoon Lee (19543572),Kyoung-Hoon Lee,19543572,G,6700,Shriners Children's Open,Golf,58.42
G,Lee Hodges (19566154),Lee Hodges,19566154,G,6700,Shriners Children's Open,Golf,77.33
G,Trey Mullinax (19543573),Trey Mullinax,19543573,G,6600,Shriners Children's Open,Golf,60.83
G,Keith Mitchell (19543574),Keith Mitchell,19543574,G,6600,Shriners Children's Open,Golf,53.41
G,Nick Watney (19543575),Nick Watney,19543575,G,6600,Shriners Children's Open,Golf,34.27
G,Brandt Snedeker (19543576),Brandt Snedeker,19543576,G,6600,Shriners Children's Open,Golf,53.76
G,Matt Kuchar (19543577),Matt Kuchar,19543577,G,6600,Shriners Children's Open,Golf,46.21
G,Hayden Buckley (19543578),Hayden Buckley,19543578,G,6600,Shriners Children's Open,Golf,62.28
G,Brendan Steele (19543579),Brendan Steele,19543579,G,6600,Shriners Children's Open,Golf,56.41
G,Chesson Hadley (19543580),Chesson Hadley,19543580,G,6500,Shriners Children's Open,Golf,50.27
G,Rory Sabbatini (19543581),Rory Sabbatini,19543581,G,6500,Shriners Children's Open,Golf,55.88
G,Harry Higgs (19543582),Harry Higgs,19543582,G,6500,Shriners Children's Open,Golf,53.76
G,Brendon Todd (19543583),Brendon Todd,19543583,G,6500,Shriners Children's Open,Golf,57.15
G,Hudson Swafford (19543584),Hudson Swafford,19543584,G,6500,Shriners Children's Open,Golf,48.52
G,Peter Malnati (19543585),Peter Malnati,19543585,G,6500,Shriners Children's Open,Golf,47.40
G,Aaron Rai (19543586),Aaron Rai,19543586,G,6500,Shriners Children's Open,Golf,58.98
G,Russell Knox (19543587),Russell Knox,19543587,G,6400,Shriners Children's Open,Golf,51.84
G,Bronson Burgoon (19543588),Bronson Burgoon,19543588,G,6400,Shriners Children's Open,Golf,51.65
G,Seth Reeves (19543589),Seth Reeves,19543589,G,6400,Shriners Children's Open,Golf,61.88
G,Nate Lashley (19543590),Nate Lashley,19543590,G,6400,Shriners Children's Open,Golf,50.84
G,Doc Redman (19543591),Doc Redman,19543591,G,6400,Shriners Children's Open,Golf,50.83
G,J.T. Poston (19543592),J.T. Poston,19543592,G,6400,Shriners Children's Open,Golf,50.57
G,James Hahn (19543593),James Hahn,19543593,G,6400,Shriners Children's Open,Golf,55.5
G,Tom Hoge (19543594),Tom Hoge,19543594,G,6400,Shriners Children's Open,Golf,51.64
G,Davis Riley (19543595),Davis Riley,19543595,G,6300,Shriners Children's Open,Golf,68.51
G,Michael Thompson (19543596),Michael Thompson,19543596,G,6300,Shriners Children's Open,Golf,56.17
G,Hank Lebioda (19543597),Hank Lebioda,19543597,G,6300,Shriners Children's Open,Golf,59.1
G,Jimmy Walker (19543598),Jimmy Walker,19543598,G,6300,Shriners Children's Open,Golf,41.65
G,Matt Wallace (19543599),Matt Wallace,19543599,G,6300,Shriners Children's Open,Golf,53.98
G,Brian Stuard (19543600),Brian Stuard,19543600,G,6300,Shriners Children's Open,Golf,53.62
G,Sam Ryder (19543601),Sam Ryder,19543601,G,6300,Shriners Children's Open,Golf,50.97
G,Nick Taylor (19543602),Nick Taylor,19543602,G,6300,Shriners Children's Open,Golf,56.52
G,Andrew Landry (19543603),Andrew Landry,19543603,G,6200,Shriners Children's Open,Golf,49.30
G,Greyson Sigg (19543604),Greyson Sigg,19543604,G,6200,Shriners Children's Open,Golf,74
G,Brandon Hagy (19543605),Brandon Hagy,19543605,G,6200,Shriners Children's Open,Golf,48.66
G,Anirban Lahiri (19543606),Anirban Lahiri,19543606,G,6200,Shriners Children's Open,Golf,58.65
G,Sepp Straka (19543607),Sepp Straka,19543607,G,6200,Shriners Children's Open,Golf,58.69
G,Adam Svensson (19543608),Adam Svensson,19543608,G,6200,Shriners Children's Open,Golf,74.58
G,Wyndham Clark (19543609),Wyndham Clark,19543609,G,6200,Shriners Children's Open,Golf,51.36
G,Andrew Putnam (19543610),Andrew Putnam,19543610,G,6200,Shriners Children's Open,Golf,51.87
G,Kevin Tway (19543611),Kevin Tway,19543611,G,6200,Shriners Children's Open,Golf,48.70
G,Alex Smalley (19566159),Alex Smalley,19566159,G,6200,Shriners Children's Open,Golf,73.5
G,Mark Hubbard (19543612),Mark Hubbard,19543612,G,6100,Shriners Children's Open,Golf,53.52
G,Kyle Stanley (19543613),Kyle Stanley,19543613,G,6100,Shriners Children's Open,Golf,54.25
G,Kevin Yu (19543614),Kevin Yu,19543614,G,6100,Shriners Children's Open,Golf,21.5
G,Sung Kang (19543615),Sung Kang,19543615,G,6100,Shriners Children's Open,Golf,42.15
G,Graeme McDowell (19543616),Graeme McDowell,19543616,G,6100,Shriners Children's Open,Golf,38.67
G,Richy Werenski (19543617),Richy Werenski,19543617,G,6100,Shriners Children's Open,Golf,49.79
G,Jim Herman (19543618),Jim Herman,19543618,G,6100,Shriners Children's Open,Golf,48.09
G,Seung-Yul Noh (19543619),Seung-Yul Noh,19543619,G,6100,Shriners Children's Open,Golf,48.3
G,William McGirt (19543620),William McGirt,19543620,G,6100,Shriners Children's Open,Golf,38.71
G,Martin Trainer (19543621),Martin Trainer,19543621,G,6100,Shriners Children's Open,Golf,30.22
G,J.J. Spaun (19543622),J.J. Spaun,19543622,G,6100,Shriners Children's Open,Golf,47.41
G,Robert Streb (19543623),Robert Streb,19543623,G,6100,Shriners Children's Open,Golf,52.16
G,Adam Long (19543624),Adam Long,19543624,G,6000,Shriners Children's Open,Golf,48
G,Brice Garnett (19543625),Brice Garnett,19543625,G,6000,Shriners Children's Open,Golf,55.8
G,Camilo Villegas (19543626),Camilo Villegas,19543626,G,6000,Shriners Children's Open,Golf,53.63
G,Bill Haas (19543627),Bill Haas,19543627,G,6000,Shriners Children's Open,Golf,41.05
G,Tyler McCumber (19543628),Tyler McCumber,19543628,G,6000,Shriners Children's Open,Golf,44.98
G,Harry Hall (19543629),Harry Hall,19543629,G,6000,Shriners Children's Open,Golf,61.42
G,Kevin Chappell (19543630),Kevin Chappell,19543630,G,6000,Shriners Children's Open,Golf,55.04
G,Curtis Thompson (19543631),Curtis Thompson,19543631,G,6000,Shriners Children's Open,Golf,65.4
G,Kelly Kraft (19543632),Kelly Kraft,19543632,G,6000,Shriners Children's Open,Golf,45.28
G,Brian Gay (19543633),Brian Gay,19543633,G,6000,Shriners Children's Open,Golf,39.67
G,Jonas Blixt (19543634),Jonas Blixt,19543634,G,6000,Shriners Children's Open,Golf,39.58
G,Jesse Mueller (19543635),Jesse Mueller,19543635,G,6000,Shriners Children's Open,Golf,30.5
G,Kyle Westmoreland (19543636),Kyle Westmoreland,19543636,G,6000,Shriners Children's Open,Golf,33.5
G,Jared Wolfe (19566156),Jared Wolfe,19566156,G,6000,Shriners Children's Open,Golf,65.09
G,Brandon Wu (19566157),Brandon Wu,19566157,G,6000,Shriners Children's Open,Golf,67.56
G,Jin Jeong (19566158),Jin Jeong,19566158,G,6000,Shriners Children's Open,Golf,0
