PredictedScore,BIRD,SCORE,D260,GIR_125,BIRD_5,PAR4,Prediction
Anders Albertson,,,,,,,
Abraham Ancer,20.49,70.659,22.88,68.56,43.96,4.01,275.09929010249624
Kiradech Aphibarnrat,20.05,70.629,21.85,64.08,45.45,4.05,275.10250766196526
Sangmoon Bae,,,,,,,
Todd Balkin,,,,,,,
Ricky Barnes,23.07,71.663,28.41,69.18,48.22,4.1,271.4682492501044
Daniel Berger,20.18,70.32,17.66,75.0,45.5,4.03,271.6644379852665
Lucas Bjerregaard,,,,,,,
Kris Blanks,,,,,,,
Ryan Blaum,21.65,70.993,29.78,74.65,41.38,4.04,271.4803035120399
Jonas Blixt,18.03,72.134,20.71,58.11,39.29,4.08,281.80073082666536
Dominic Bozzelli,20.26,71.179,21.29,63.59,40.1,4.02,276.59983640975884
Sam Burns,,,,,,,
Jonathan Byrd,19.98,71.398,31.4,72.48,43.88,4.06,276.31975585066766
Rafa Cabrera Bello,21.83,69.887,20.68,76.92,44.71,4.0,268.4948121480663
Chad Campbell,17.58,71.683,29.12,73.56,36.8,4.06,278.8221990232393
Roberto Castro,,,,,,,
Bud Cauley,20.44,71.356,19.93,68.46,40.53,4.07,273.176480351545
John Chin,,,,,,,
Wyndham Clark,,,,,,,
Will Claxton,,,,,,,
Chad Collins,,,,,,,
Austin Cook,21.96,70.469,22.52,70.1,45.03,4.01,271.76106935902584
Ben Crane,19.49,71.097,34.32,72.06,36.32,4.02,276.36539800534337
Cameron Davis,,,,,,,
Stuart Deane,,,,,,,
Luke Donald,,,,,,,
Tyler Duncan,20.07,71.04,24.29,76.11,44.8,4.05,273.83693321197035
Roberto Díaz,17.97,71.731,29.97,71.1,34.98,4.06,278.45141373769246
Ernie Els,,,,,,,
Harris English,20.66,71.162,20.32,70.09,45.08,4.05,274.1677392264841
Julián Etulain,,,,,,,
Matt Every,20.15,72.044,18.12,63.73,45.71,4.12,275.9995269335086
Derek Fathauer,19.72,71.827,24.84,71.92,39.84,4.12,273.24018300131377
Zack Fischer,,,,,,,
Dylan Frittelli,,,,,,,
Joey Garber,,,,,,,
Brian Gay,21.62,70.28,35.69,68.17,44.0,4.01,273.6855357788806
Doug Ghim,,,,,,,
Branden Grace,21.01,70.412,15.03,71.63,43.33,4.04,269.7886197501498
Cody Gribble,20.0,72.112,20.11,66.3,40.57,4.07,277.1501530991977
Fabián Gómez,19.38,71.02,28.48,69.67,44.83,4.04,277.5919944891015
Bill Haas,17.49,71.028,21.96,72.14,40.26,4.06,277.0522210642317
Brandon Hagy,,,,,,,
Justin Harding,,,,,,,
Brandon Harkins,22.69,70.721,14.23,65.96,44.59,4.04,269.5214496963363
Brian Harman,21.11,70.536,24.8,68.92,41.09,4.01,272.8949083739481
Padraig Harrington,,,,,,,
David Hearn,20.65,71.325,33.14,75.86,41.15,4.05,274.0173695413352
Russell Henley,20.87,70.489,27.08,72.35,40.99,4.04,271.12143846211956
J.J. Henry,18.15,71.372,24.49,75.33,37.13,4.05,276.2673852531021
Jim Herman,,,,,,,
Kramer Hickok,,,,,,,
Morgan Hoffmann,,,,,,,
Tom Hoge,21.57,70.945,24.22,69.03,44.33,4.03,273.3865329580341
Beau Hossler,21.58,70.574,19.0,69.43,43.9,4.01,272.1183570588822
Charles Howell III,20.11,70.219,14.98,76.38,42.86,4.01,270.94413860549093
Mackenzie Hughes,20.61,71.282,21.79,71.55,40.68,4.04,273.71558732006514
