PredictedScore,LOW,D240,BIRD_5,PAR5,GIR_F,ACCURATE,Prediction,Salary,AvgPointsPerGame,odds
Dustin Johnson,67.78,6.54,55.36,4.47,81.58,59.46,277.1622978026594,11300.0,93.9,0.083333333333333
Jon Rahm,68.53,6.41,53.96,4.57,82.73,59.2,279.1844851570189,10000.0,91.65,0.04761904761904799
Tommy Fleetwood,68.29,6.75,56.32,4.48,81.76,64.98,280.0422734508553,9200.0,81.39,0.038461538461539
Rory McIlroy,69.54,6.32,51.74,4.51,81.13,55.79,280.7854798759989,11600.0,98.29,0.111111111111111
Tony Finau,69.48,7.16,53.69,4.49,80.45,55.09,281.22410416704315,8200.0,80.91,0.027777777777778
Patrick Reed,69.89,7.18,45.93,4.6,77.07,55.11,281.27796340644494,8000.0,71.08,0.016393442622950997
Justin Thomas,69.2,7.01,55.93,4.49,81.16,58.41,281.2928778365114,10200.0,96.4,0.04761904761904799
Francesco Molinari,69.87,5.01,44.5,4.61,78.59,65.04,281.5975582400617,8600.0,73.9,0.04761904761904799
Patrick Cantlay,69.43,7.01,48.73,4.56,81.12,61.58,282.08854727491473,7700.0,82.39,0.014084507042254
Keith Mitchell,70.23,5.42,53.02,4.56,79.75,58.59,282.3929342591519,6800.0,69.17,0.004975124378109001
Jordan Spieth,69.1,7.78,52.7,4.55,83.74,61.55,282.5449030972835,8900.0,58.61,0.058823529411765
Rickie Fowler,68.5,10.14,49.06,4.57,79.77,65.33,282.7962355142595,9700.0,92.4,0.0625
Tiger Woods,68.7,10.58,48.48,4.57,82.83,59.35,282.93470340861603,10500.0,80.8,0.058823529411765
Phil Mickelson,70.19,8.16,50.38,4.56,79.1,52.91,283.1556578119175,8300.0,73.19,0.021739130434783
Charley Hoffman,70.29,7.89,41.87,4.65,77.37,58.34,283.45891069649036,6800.0,51.17,0.013157894736841999
Aaron Wise,69.64,8.15,46.27,4.63,81.6,63.33,283.94069920479734,6600.0,61.83,0.00398406374502
Bubba Watson,71.0,5.15,50.0,4.54,80.0,58.27,284.07181021089764,8800.0,71.28,0.027777777777778
Hideki Matsuyama,69.05,10.85,45.0,4.63,79.59,62.82,284.0988910249958,8700.0,77.4,0.028571428571429
Tyrrell Hatton,70.35,7.99,40.91,4.67,76.6,61.84,284.2602158052795,7200.0,57.2,0.0066225165562909995
J.B. Holmes,70.45,8.12,46.69,4.63,78.39,57.13,284.3630839917793,6800.0,63.0,0.0066225165562909995
