PredictedScore,LOW,SAND,B_AVG,PUTT3_25,D300,PAR4,Prediction
Anders Albertson,,,,,,,
Abraham Ancer,70.12,54.12,3.64,9.82,34.02,4.01,140.14301833736528
Kiradech Aphibarnrat,71.8,46.88,3.46,9.15,32.98,4.05,140.62428513936158
Sangmoon Bae,,,,,,,
Todd Balkin,,,,,,,
Ricky Barnes,70.42,51.65,4.07,7.26,22.06,4.1,142.7465548938937
Daniel Berger,70.4,47.33,3.53,10.83,36.47,4.03,139.7467605111615
Lucas Bjerregaard,,,,,,,
Kris Blanks,,,,,,,
Ryan Blaum,70.14,41.54,3.78,9.91,17.63,4.04,141.61089216399986
Jonas Blixt,71.5,52.13,3.15,7.46,29.73,4.08,140.28260482712312
Dominic Bozzelli,71.95,44.8,3.57,9.17,30.12,4.02,140.9034084187118
Sam Burns,,,,,,,
Jonathan Byrd,70.54,57.65,3.48,9.48,23.21,4.06,141.49955136806017
Rafa Cabrera Bello,69.95,56.9,3.77,8.5,31.1,4.0,140.53650850053742
Chad Campbell,70.36,50.0,3.08,11.37,21.41,4.06,140.41587929622506
Roberto Castro,,,,,,,
Bud Cauley,69.67,54.37,3.66,8.09,27.45,4.07,140.81513826629316
John Chin,,,,,,,
Wyndham Clark,,,,,,,
Will Claxton,,,,,,,
Chad Collins,,,,,,,
Austin Cook,70.31,53.45,3.92,8.68,26.32,4.01,141.47427409510271
Ben Crane,71.17,66.0,3.41,6.09,14.44,4.02,142.18277448617866
Cameron Davis,,,,,,,
Stuart Deane,,,,,,,
Luke Donald,,,,,,,
Tyler Duncan,70.6,32.43,3.49,12.06,28.27,4.05,140.06829146207062
Roberto Díaz,71.05,50.0,3.18,10.42,20.54,4.06,141.02196219532732
Ernie Els,,,,,,,
Harris English,71.22,44.67,3.6,8.3,34.84,4.05,140.26059545718113
Julián Etulain,,,,,,,
Matt Every,72.0,48.84,3.47,10.24,32.94,4.12,141.5442642971379
Derek Fathauer,71.64,43.62,3.44,9.94,21.89,4.12,141.9749653360558
Zack Fischer,,,,,,,
Dylan Frittelli,,,,,,,
Joey Garber,,,,,,,
Brian Gay,70.0,53.1,3.82,8.56,14.23,4.01,142.11890618674389
Doug Ghim,,,,,,,
Branden Grace,70.77,47.46,3.69,10.8,42.16,4.04,139.9163864437361
Cody Gribble,72.29,48.72,3.55,6.36,32.54,4.07,141.08501894849536
Fabián Gómez,70.21,43.2,3.39,6.51,22.63,4.04,139.91505535901607
Bill Haas,70.2,57.26,3.05,7.23,30.65,4.06,139.28368566487615
Brandon Hagy,,,,,,,
Justin Harding,,,,,,,
Brandon Harkins,69.94,53.42,3.94,10.19,46.8,4.04,139.86433406701485
Brian Harman,71.43,47.22,3.73,12.54,27.96,4.01,141.63833514856628
Padraig Harrington,,,,,,,
David Hearn,70.07,47.62,3.63,12.09,15.29,4.05,142.05242751281762
Russell Henley,70.3,42.54,3.69,5.95,24.51,4.04,140.43671551453
J.J. Henry,71.55,42.22,3.24,9.12,23.23,4.05,140.5901689528757
Jim Herman,,,,,,,
Kramer Hickok,,,,,,,
Morgan Hoffmann,,,,,,,
Tom Hoge,70.15,49.36,3.81,13.36,25.0,4.03,141.73811253937794
Beau Hossler,70.11,54.19,3.79,8.1,41.34,4.01,139.6424907904073
Charles Howell III,70.06,55.76,3.55,7.03,40.44,4.01,139.05550864390824
Mackenzie Hughes,70.59,41.74,3.66,8.97,29.37,4.04,140.40219882761284
Billy Hurley III,71.0,48.96,3.27,8.12,14.07,4.07,141.55956118280318
Sungjae Im,,,,,,,
Freddie Jacobson,,,,,,,
Stephan Jaeger,71.09,46.97,3.44,8.44,34.74,4.05,139.9319442855685
Kyle Jones,,,,,,,
Matt Jones,71.47,51.38,3.63,10.96,42.1,4.01,140.14931789830322
Sung Kang,71.59,50.34,3.44,8.78,25.8,4.13,141.86753675029152
Smylie Kaufman,,,,,,,
Michael Kim,71.33,48.84,3.44,7.83,16.18,4.08,142.01350045687667
Whee Kim,71.81,61.82,3.62,7.62,17.68,4.05,142.97920515577314
Colt Knost,,,,,,,
Jim Knous,,,,,,,
