PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
Anders Albertson,,,,,,
Byeong Hun An,94.0,4.62,135.0,9.51,67.99,148.30967272765156
Ryan Armour,154.0,4.61,187.0,8.94,68.22,148.04508096649243
Sangmoon Bae,,,,,,
Daniel Berger,130.0,4.6,141.0,10.83,66.89,148.30708182024466
Ryan Blaum,245.0,4.64,225.0,9.91,66.1,148.12686977809824
Jonas Blixt,331.0,4.73,236.0,7.46,62.02,148.35928300938716
Dominic Bozzelli,350.0,4.74,253.0,9.17,60.94,150.04827512662195
Keegan Bradley,40.0,4.57,80.0,8.41,69.18,146.12656489645698
Scott Brown,246.0,4.72,223.0,5.91,65.65,147.57984849704252
Sam Burns,,,,,,
Jonathan Byrd,231.0,4.61,272.0,9.48,68.19,149.5475582746119
Paul Casey,82.0,4.57,109.0,5.16,67.84,146.82714610805752
Roberto Castro,,,,,,
Bud Cauley,264.0,4.66,206.0,8.09,64.26,147.67529403593673
Cameron Champ,,,,,,
John Chin,,,,,,
Wyndham Clark,,,,,,
Chad Collins,,,,,,
Ben Crane,256.0,4.7,207.0,6.09,64.88,146.9645289704324
Joel Dahmen,67.0,4.66,126.0,11.71,68.82,148.45810239085148
Cameron Davis,,,,,,
Jason Day,179.0,4.56,155.0,7.83,65.28,148.07624268875946
Jason Dufner,214.0,4.68,162.0,12.29,64.24,148.22625004501432
Tyler Duncan,59.0,4.66,137.0,12.06,69.65,148.68852323254868
Roberto Díaz,319.0,4.72,252.0,10.42,63.73,148.52455364279615
Ernie Els,,,,,,
Harris English,254.0,4.62,179.0,8.3,63.32,147.74589163371752
Julián Etulain,,,,,,
Broc Everett,,,,,,
Matt Every,319.0,4.64,279.0,10.24,64.59,149.5079010229573
Derek Fathauer,379.0,4.7,350.0,9.94,60.35,156.03079167752634
Tony Finau,106.0,4.49,178.0,8.29,70.18,147.99260413331046
Rickie Fowler,37.0,4.57,101.0,7.72,69.52,147.19790288662796
Dylan Frittelli,,,,,,
Joey Garber,,,,,,
Sergio Garcia,,,,,,
Brice Garnett,144.0,4.64,150.0,8.81,66.78,147.78862664625012
Lucas Glover,110.0,4.6,129.0,10.71,67.12,148.3321049123494
Cody Gribble,304.0,4.76,219.0,6.36,62.48,147.89888434032719
Fabián Gómez,171.0,4.63,190.0,6.51,67.86,147.24806700942844
Bill Haas,299.0,4.66,243.0,7.23,64.79,147.37193032734126
Chesson Hadley,165.0,4.61,179.0,6.81,67.68,147.17961439494542
Adam Hadwin,167.0,4.7,196.0,8.84,68.04,147.84430051570934
Brandon Hagy,,,,,,
Brandon Harkins,238.0,4.62,216.0,10.19,65.67,148.56656201913614
Brian Harman,130.0,4.64,154.0,12.54,67.59,148.48215795950506
Padraig Harrington,,,,,,
David Hearn,162.0,4.65,209.0,12.09,68.89,148.65552401015105
Russell Henley,75.0,4.67,134.0,5.95,68.77,147.6036358317064
J.J. Henry,82.0,4.71,166.0,9.12,70.52,147.59773493687825
Jim Herman,,,,,,
Kramer Hickok,,,,,,
Tom Hoge,298.0,4.62,229.0,13.36,63.62,149.10408134766942
J.B. Holmes,207.0,4.63,174.0,8.93,65.26,147.75379870762745
Max Homa,,,,,,
Beau Hossler,139.0,4.63,167.0,8.1,67.95,147.67920045144785
Charles Howell III,71.0,4.61,141.0,7.03,69.33,147.97514921336057
Mackenzie Hughes,252.0,4.71,231.0,8.97,66.01,147.87375528087512
Billy Hurley III,353.0,4.72,312.0,8.12,63.02,151.1844212306305
Sungjae Im,,,,,,
Freddie Jacobson,,,,,,
Stephan Jaeger,200.0,4.58,203.0,8.44,67.11,147.8853672072166
Zach Johnson,207.0,4.63,217.0,7.09,67.43,147.65589547942614
Kyle Jones,,,,,,
Matt Jones,159.0,4.64,156.0,10.96,66.49,148.06001311734644
Sung Kang,339.0,4.71,278.0,8.78,63.2,149.5744830055307
Smylie Kaufman,,,,,,
Whee Kim,337.0,4.7,283.0,7.62,63.55,149.4265874339486
Chris Kirk,177.0,4.61,209.0,7.96,68.24,148.03155705764493
Colt Knost,,,,,,
Jim Knous,,,,,,
Jason Kokrak,76.0,4.58,158.0,9.03,70.37,147.96843795320487
Kelly Kraft,265.0,4.74,201.0,8.68,63.83,147.6718307773085
Anirban Lahiri,288.0,4.7,233.0,9.56,64.7,147.70778239242756
Martin Laird,155.0,4.6,147.0,9.79,65.9,148.3441989720217
Scott Langley,,,,,,
Nate Lashley,190.0,4.64,223.0,8.24,68.2,148.2453310351646
Hank Lebioda,,,,,,
Danny Lee,279.0,4.73,234.0,8.27,65.05,147.5468435273693
Kyoung-Hoon Lee,,,,,,
Nicholas Lindheim,206.0,4.73,232.0,10.04,68.04,148.1659684875666
Luke List,149.0,4.57,187.0,10.96,68.36,148.6218659639622
Adam Long,,,,,,
Tom Lovelady,182.0,4.57,183.0,10.29,67.08,147.93630716729513
Curtis Luck,,,,,,
Will MacKenzie,,,,,,
Peter Malnati,350.0,4.71,298.0,7.27,62.99,150.32122951674336
Hideki Matsuyama,63.0,4.63,132.0,11.3,69.29,148.5312117765774
Denny McCarthy,139.0,4.63,172.0,5.49,68.17,147.30408878317252
Rory McIlroy,176.0,4.51,164.0,7.94,66.3,147.75133885809407
Phil Mickelson,299.0,4.56,246.0,8.75,64.88,148.02714984857045
Keith Mitchell,72.0,4.56,145.0,12.85,69.42,149.2140919189137
Trey Mullinax,208.0,4.61,177.0,8.55,65.38,147.74734202236158
Sebastián Muñoz,,,,,,
Joaquin Niemann,,,,,,
Alvaro Ortiz,,,,,,
Carlos Ortiz,,,,,,
Rod Pampling,322.0,4.82,234.0,10.92,62.64,148.26925068777723
Pat Perez,172.0,4.66,187.0,7.28,67.78,147.1231204065487
J.T. Poston,107.0,4.73,155.0,9.35,68.31,148.16164264875306
Jr. Potter,,,,,,
Seamus Power,253.0,4.6,216.0,8.41,65.17,148.08858351848113
Alex Prugh,,,,,,
Chez Reavie,129.0,4.73,176.0,6.5,68.67,147.39189717357988
Doc Redman,,,,,,
Patrick Reed,327.0,4.6,256.0,9.8,63.57,148.80004014885208
Seth Reeves,,,,,,
Wes Roach,,,,,,
José de Jesús Rodríguez,,,,,,
Justin Rose,24.0,4.53,67.0,10.57,69.95,145.6755450483826
Rory Sabbatini,206.0,4.57,224.0,10.26,67.85,148.38315216321217
