PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
Anders Albertson,,,,,,
Abraham Ancer,172.0,4.63,165.0,9.82,66.49,273.1115554469521
Sangmoon Bae,,,,,,
Ryan Blaum,245.0,4.64,225.0,9.91,66.1,274.1049085504426
Jonas Blixt,331.0,4.73,236.0,7.46,62.02,276.855739689177
Dominic Bozzelli,350.0,4.74,253.0,9.17,60.94,275.57113021710586
Keegan Bradley,40.0,4.57,80.0,8.41,69.18,272.0316005248309
Scott Brown,246.0,4.72,223.0,5.91,65.65,276.6815566239096
Sam Burns,,,,,,
Jonathan Byrd,231.0,4.61,272.0,9.48,68.19,273.0045785806073
Chad Campbell,257.0,4.7,225.0,11.37,65.54,274.3636041948944
Patrick Cantlay,39.0,4.56,136.0,10.3,70.69,269.949831478376
Roberto Castro,,,,,,
Alex Cejka,265.0,4.65,199.0,8.63,63.77,274.9449669520856
Cameron Champ,,,,,,
K.J. Choi,,,,,,
Wyndham Clark,,,,,,
Corey Conners,33.0,4.63,115.0,11.8,70.19,270.32367886113326
Austin Cook,153.0,4.67,154.0,8.68,66.51,273.64092639320825
Jon Curran,,,,,,
Joel Dahmen,67.0,4.66,126.0,11.71,68.82,270.8740839840003
Cameron Davis,,,,,,
Jason Day,179.0,4.56,155.0,7.83,65.28,272.85534222505055
Luke Donald,,,,,,
Jason Dufner,214.0,4.68,162.0,12.29,64.24,273.02094872594506
Tyler Duncan,59.0,4.66,137.0,12.06,69.65,270.5511684008444
David Duval,,,,,,
Roberto Díaz,319.0,4.72,252.0,10.42,63.73,275.5645087047329
Ernie Els,,,,,,
Harris English,254.0,4.62,179.0,8.3,63.32,274.59701870429876
Julián Etulain,,,,,,
Matt Every,319.0,4.64,279.0,10.24,64.59,274.21813884812093
Derek Fathauer,379.0,4.7,350.0,9.94,60.35,271.66184031288304
Tony Finau,106.0,4.49,178.0,8.29,70.18,271.1953411159034
Tommy Fleetwood,34.0,4.48,72.0,9.68,69.36,270.4822304006234
Dylan Frittelli,,,,,,
Jim Furyk,278.0,4.68,200.0,8.08,63.19,275.7108337370723
Joey Garber,,,,,,
Sergio Garcia,,,,,,
Brice Garnett,144.0,4.64,150.0,8.81,66.78,273.1308886643677
Brian Gay,249.0,4.61,192.0,8.56,64.52,274.5678073242168
Lucas Glover,110.0,4.6,129.0,10.71,67.12,271.18801661526555
Branden Grace,127.0,4.64,145.0,10.8,67.1,271.84865054388047
Cody Gribble,304.0,4.76,219.0,6.36,62.48,277.4503819435298
Bill Haas,299.0,4.66,243.0,7.23,64.79,276.4682065519141
Chesson Hadley,165.0,4.61,179.0,6.81,67.68,274.2666853848158
Adam Hadwin,167.0,4.7,196.0,8.84,68.04,274.2142432387155
Justin Harding,,,,,,
Brandon Harkins,238.0,4.62,216.0,10.19,65.67,273.37613170359504
Brian Harman,130.0,4.64,154.0,12.54,67.59,271.2612100917178
Padraig Harrington,,,,,,
David Hearn,162.0,4.65,209.0,12.09,68.89,272.0353626506137
Russell Henley,75.0,4.67,134.0,5.95,68.77,273.6175084840698
J.J. Henry,82.0,4.71,166.0,9.12,70.52,273.2145883210741
Charley Hoffman,217.0,4.65,207.0,8.92,66.53,274.358073338234
Tom Hoge,298.0,4.62,229.0,13.36,63.62,272.7511513789689
J.B. Holmes,207.0,4.63,174.0,8.93,65.26,273.88661950933846
Max Homa,,,,,,
Billy Horschel,20.0,4.52,117.0,8.16,71.75,271.1073153466078
Sam Horsfield,,,,,,
Mackenzie Hughes,252.0,4.71,231.0,8.97,66.01,275.4591478912937
Billy Hurley III,353.0,4.72,312.0,8.12,63.02,275.23822563569905
Sungjae Im,,,,,,
Trevor Immelman,,,,,,
Freddie Jacobson,,,,,,
Stephan Jaeger,200.0,4.58,203.0,8.44,67.11,273.4593655378956
Kyle Jones,,,,,,
Matt Jones,159.0,4.64,156.0,10.96,66.49,272.43966239718526
Sung Kang,339.0,4.71,278.0,8.78,63.2,275.66420563973435
Michael Kim,372.0,4.67,330.0,7.83,60.63,272.9313451698739
Si Woo Kim,318.0,4.67,253.0,6.93,63.78,276.4343098786917
Whee Kim,337.0,4.7,283.0,7.62,63.55,276.0403624193167
Chris Kirk,177.0,4.61,209.0,7.96,68.24,273.58916224869586
Kevin Kisner,204.0,4.58,176.0,4.32,65.38,275.1735587503516
Patton Kizzire,195.0,4.61,242.0,8.7,69.04,273.47945295419515
Colt Knost,,,,,,
Jim Knous,,,,,,
Russell Knox,82.0,4.66,155.0,9.86,69.57,271.89581215516165
Brooks Koepka,121.0,4.49,163.0,10.53,68.28,269.9793206546146
Chase Koepka,,,,,,
Jason Kokrak,76.0,4.58,158.0,9.03,70.37,271.481538540255
Kelly Kraft,265.0,4.74,201.0,8.68,63.83,276.0482735908434
Anirban Lahiri,288.0,4.7,233.0,9.56,64.7,275.7170365328457
