PredictedScore,STRIKE,PAR5,DRIVE,PUTT3_25,GIR,Prediction
Anders Albertson,,,,,,
Abraham Ancer,172.0,4.63,165.0,9.82,66.49,141.80195931142276
Sangmoon Bae,,,,,,
Ryan Blaum,245.0,4.64,225.0,9.91,66.1,142.98167597124493
Jonas Blixt,331.0,4.73,236.0,7.46,62.02,141.0353370163594
Dominic Bozzelli,350.0,4.74,253.0,9.17,60.94,140.9858356817792
Keegan Bradley,40.0,4.57,80.0,8.41,69.18,141.17508795981942
Scott Brown,246.0,4.72,223.0,5.91,65.65,141.97592686884977
Sam Burns,,,,,,
Jonathan Byrd,231.0,4.61,272.0,9.48,68.19,144.85813265219335
Chad Campbell,257.0,4.7,225.0,11.37,65.54,142.46036579402875
Patrick Cantlay,39.0,4.56,136.0,10.3,70.69,143.01332979737916
Roberto Castro,,,,,,
Alex Cejka,265.0,4.65,199.0,8.63,63.77,141.44854919225855
Cameron Champ,,,,,,
K.J. Choi,,,,,,
Wyndham Clark,,,,,,
Corey Conners,33.0,4.63,115.0,11.8,70.19,141.9908365123317
Austin Cook,153.0,4.67,154.0,8.68,66.51,141.18537811312913
Jon Curran,,,,,,
Joel Dahmen,67.0,4.66,126.0,11.71,68.82,141.53519256309986
Cameron Davis,,,,,,
Jason Day,179.0,4.56,155.0,7.83,65.28,141.49833079508196
Luke Donald,,,,,,
Jason Dufner,214.0,4.68,162.0,12.29,64.24,140.75357061933508
Tyler Duncan,59.0,4.66,137.0,12.06,69.65,142.0781238675461
David Duval,,,,,,
Roberto Díaz,319.0,4.72,252.0,10.42,63.73,142.24948067513668
Ernie Els,,,,,,
Harris English,254.0,4.62,179.0,8.3,63.32,141.0307990620435
Julián Etulain,,,,,,
Matt Every,319.0,4.64,279.0,10.24,64.59,143.65318315509015
Derek Fathauer,379.0,4.7,350.0,9.94,60.35,142.93040777436892
Tony Finau,106.0,4.49,178.0,8.29,70.18,144.2231326018185
